fake_acctcode,segment,refresh_month,opt_in_date,fuel_only_parent_acct,cli_amount,fleetcor_open_datex,cityx,statex,zipx,term_daysx,due_daysx,lock_daysx,credit_limitx,lock_codex,lock_reasonx,lock_typex,deposit_flagx,portfolio,lob_reportingx,fleetcor_open_datey,cityy,statey,zipy,term_daysy,due_daysy,lock_daysy,credit_limity,lock_codey,lock_reasony,lock_typey,deposit_flagy,porfolio,lob_reportingy,snapshot_date,current_balance,unbilled_balance,days_past_due,bal_1_30,bal_31_60,bal_61_90,bal_90_plus,yearmonthx,ccs_grade,paydex,yearmonthy,nsf_amount,nsf_pmts,yearmonthxx,payment_amount,no_of_payment,yearmonthyy,credit_limitxx,fuel_net_rev,nonfuel_net_rev,net_fee_rev,tot_net_rev,yearmonthxxx,credit_limityy,gallons,fuel_spend,nonfuel_spend,tot_spend,quarter_refreshed,vantage_score,yearmonthyyy,wo_amount
152630,0,Unknown,NA,Unknown,0,NA,Unknown,Unknown,Unknown,0,0,0,0,Unknown,Unknown,Unknown,0,Unknown,Unknown,10-08-2022 08:10,MOBILE,AL,36607,30,14,10,23000,B,Fraud / Suspicious Activity,PERM LOCK,0,BPMC,NAP,01-10-2022,0,0,0,0,0,0,0,202211,B,78,Unknown,0,0,Unknown,0,0,Unknown,0,0,0,0,0,Unknown,0,0,0,0,0,Unknown,0,Unknown,0
309054,9,202208,NA,Unknown,0,NA,Unknown,Unknown,Unknown,0,0,0,0,Unknown,Unknown,Unknown,0,Unknown,Unknown,07-03-2015 09:04,PEMBROKE,NC,28372,30,11,18,9000,Z,UNLOCKED,UNLOCKED,0,UNMC,NAL MC,01-10-2022,0,3712.28,0,0,0,0,0,202210,A,78,Unknown,0,0,Unknown,0,0,202210,9000,81.64,0,146.35,227.99,202210,9000,812.37,3560.36,0,3560.36,2022Q3,0,Unknown,0
223684,36,202208,NA,Unknown,0,NA,Unknown,Unknown,Unknown,0,0,0,0,Unknown,Unknown,Unknown,0,Unknown,Unknown,29-04-2022 15:37,HOUSTON,TX,77087,30,10,10,0,M,INACTIVE,PERM LOCK,0,Fuelman,Fuelman,01-10-2022,0,1213.67,0,0,0,0,0,202210,B,75,Unknown,0,0,202210,1338.16,2,202210,0,31.35,0,11.97,43.32,202210,0,496.771,1567.08,0,1567.08,2022Q4,0,Unknown,0
249557,0,Unknown,NA,Unknown,0,NA,Unknown,Unknown,Unknown,0,0,0,0,Unknown,Unknown,Unknown,0,Unknown,Unknown,09-02-2023 09:19,CHARLOTTE,NC,28210,7,7,5,1400,I,BAD AGENCY,PERM LOCK,0,FMMC,NAL MC,NA,0,0,0,0,0,0,0,Unknown,Unknown,0,Unknown,0,0,202303,1009.86,4,202303,1400,18.188964,0,0,18.188964,202303,1400,261.606,871.69,0,871.69,2023Q1,634,202309,1638.96
117798,7,202208,NA,Unknown,0,NA,Unknown,Unknown,Unknown,0,0,0,0,Unknown,Unknown,Unknown,0,Unknown,Unknown,29-04-2021 08:31,PHILADELPHIA,PA,19131,30,14,7,1000,Q,INACTIVE,PERM LOCK,0,BPMC,NAP,01-10-2022,0,0,0,0,0,0,0,202210,B,69,Unknown,0,0,Unknown,0,0,Unknown,0,0,0,0,0,Unknown,0,0,0,0,0,Unknown,0,Unknown,0
129979,61,202208,30-06-2022,0,4500,16-11-2021 10:43,MORENO VALLEY,CA,92551,30,14,18,4500,I,BAD AGENCY,PERM LOCK,0,ARMC,NAP,NA,Unknown,Unknown,Unknown,0,0,0,0,Unknown,Unknown,Unknown,0,Unknown,Unknown,NA,0,0,0,0,0,0,0,Unknown,Unknown,0,Unknown,0,0,Unknown,0,0,Unknown,0,0,0,0,0,Unknown,0,0,0,0,0,Unknown,0,Unknown,0
125282,4,202208,NA,Unknown,0,NA,Unknown,Unknown,Unknown,0,0,0,0,Unknown,Unknown,Unknown,0,Unknown,Unknown,09-09-2021 08:02,POTTSVILLE,PA,17901,7,5,10,2000,N,NSF,TEMP LOCK,0,BPMC,NAP,01-10-2022,0,0,0,0,0,0,0,202211,C2,0,Unknown,0,0,Unknown,0,0,Unknown,0,0,0,0,0,Unknown,0,0,0,0,0,Unknown,0,Unknown,0
268598,3,202208,NA,Unknown,0,NA,Unknown,Unknown,Unknown,0,0,0,0,Unknown,Unknown,Unknown,0,Unknown,Unknown,01-02-2019 08:40,ELKHART,IN,46515,30,14,30,21900,Z,UNLOCKED,UNLOCKED,0,CSMC,NAP,01-10-2022,0,136.67,0,0,0,0,0,202210,A,77,Unknown,0,0,202210,141.95,1,202210,21900,10.344039,0,0,10.344039,202210,21900,121.213,504.44,0,504.44,2022Q3,0,Unknown,0
218905,58,202208,NA,Unknown,0,NA,Unknown,Unknown,Unknown,0,0,0,0,Unknown,Unknown,Unknown,0,Unknown,Unknown,09-03-2022 10:51,ROCK HILL,SC,29730,7,7,7,450,M,COLLECT,PERM LOCK,0,Fuelman,Fuelman,01-10-2022,0,47.25,0,0,0,0,0,202210,X,0,Unknown,0,0,Unknown,0,0,202210,450,7.15,0,255.36,262.51,202210,450,40.204,156.09,0,156.09,2022Q4,0,202303,616.24
217207,58,202208,NA,Unknown,0,NA,Unknown,Unknown,Unknown,0,0,0,0,Unknown,Unknown,Unknown,0,Unknown,Unknown,17-02-2022 11:04,COVINA,CA,91724,30,14,7,1100,U,Unknown,UNLOCKED,1,ARCO,NAP,01-10-2022,0,130.57,0,0,0,0,0,202211,D,20,Unknown,0,0,202210,206.88,1,202210,1100,0.27,0,76.31,76.58,202210,1100,38.879,222.47,0,222.47,2022Q4,638,Unknown,0
